text,label,notes
"Industry is one of the few shows that takes seriously how young people actually speak in professional environments — the blend of technical jargon, ironic detachment, and genuine ambition. Most workplace dramas give characters articulate emotional access to themselves that real people don't have.",critique,
"Atlanta's 'Teddy Perkins' episode works because it deploys the visual grammar of horror — the isolated house, the slow reveal, the unreliable helper — in service of an argument about Black artistic self-destruction. The horror isn't incidental; it's the thesis.",critique,
Slow Horses 'Visiting Hours' episode — the last five minutes — I've watched it three times and I get genuinely tense every time even though I know what happens.,reaction,
Dark is the best show Netflix has ever produced and the fact that it's in German is the only reason it didn't become the cultural phenomenon it deserved to be.,hot_take,
The Rehearsal and The Curse together represent Nathan Fielder developing a genuine formal vocabulary around performed sincerity and constructed situations. Both shows are asking the same question: what is the relationship between a rehearsed version of a feeling and the feeling itself?,critique,
Barry season 3 takes a genuine formal risk by making its darkest material the funniest and its comedic characters the most tragic. The pivot of the Cousineau storyline in episodes 5-6 is one of the most tonal shifts I've seen in a comedy — it recontextualizes everything that came before.,critique,
"Ghosts (US) is a better-structured show than it gets credit for. The ensemble is large enough that the writers can pair any two characters and generate a premise, which means the show never has to rely on its central relationship carrying all the dramatic weight.",critique,
"Mindhunter's most underappreciated formal quality is its use of institutional space. The FBI offices, interview rooms, and bureaucratic hallways are always slightly too large for the number of people in them. The show uses architectural emptiness to argue that the institution doesn't fit its investigators.",critique,
Pachinko's non-linear structure across generations and languages is its most important formal argument: the show treats history as something the body carries rather than something the mind remembers. The present-day Sunja scenes only make sense as the physical echo of the past-timeline scenes.,critique,
Patriot (Amazon) is the funniest show most people have never seen. It's a deadpan spy comedy with the aesthetic of a slow European drama and it's brilliant and it got cancelled and I'm still angry.,hot_take,
"Andor season 1's prison arc is its most formally ambitious sequence. Three episodes of bureaucratic violence, labor organization, and incremental rebellion — no action, no spectacle. It's making an argument about how revolutionary consciousness actually forms, and it trusts that argument over entertainment.",critique,
Yellowstone is not secretly good. It is exactly as it appears: a soap opera for people who dislike the coasts. That's fine. But the critical rehabilitation attempts are embarrassing.,hot_take,
Sherlock went from the best thing on television to completely unwatchable in two seasons. The pivot to making Sherlock a superhero rather than a detective is one of the worst creative decisions in modern TV.,hot_take,
The Bear season 1 finale and I'm sweating. I'm sitting in my apartment sweating. It's a show about a restaurant.,reaction,
"True Detective season 1 is extraordinary television but its thesis — that time is a flat circle, that evil recurs without resolution — is undercut by its own structural choice to include the post-2012 interviews. Rust's optimism at the end contradicts the nihilism the form was building toward.",critique,
Ghosts season 4 finale had me laughing and then crying within about 90 seconds and I was completely unprepared for either.,reaction,
"Better Call Saul is better than Breaking Bad in every measurable way. Better directed, better written, more emotionally complex. The only thing Breaking Bad has over it is cultural timing.",hot_take,
What makes Rectify one of the most underrated dramas of the 2010s is its refusal to make innocence or guilt the dramatic question. Daniel Holden is out of prison and the show is about what it means to re-inhabit a life and a body after years of absence. The legal question is intentionally unresolved.,critique,
"The Good Place's structural twist at the end of season 1 is famous, but the more impressive writing is what comes after. The show commits to its philosophical questions post-twist rather than retreating to plot mechanics. Most concept shows exhaust their premise in season 1; this one deepens it.",critique,
Watched the Breaking Bad finale for the third time last night. Still works. 'Baby Blue' still hits. Some things just hold.,reaction,
"The Leftovers season 2 restructures its entire premise by opening on a prehistoric woman with no connection to the main cast. It's a 10-minute cold open that reframes the show's grief as geological, not personal. That's a structural risk almost no prestige drama would take.",critique,
Ghosts (UK) is better than Ghosts (US) and I say this as someone who genuinely likes the US version. The British one is stranger and stranger is better.,hot_take,
